,price,load_forecast,wind_solar
2025-01-01 00:00:00+01:00,41.875340784047545,516.2784930828037,441.02662311676414
2025-01-01 01:00:00+01:00,39.73739909475962,528.2874248696336,504.02043049422787
2025-01-01 02:00:00+01:00,58.15373113604399,580.8077246354875,452.98879698808247
2025-01-01 03:00:00+01:00,59.490527642754664,631.9207779270932,454.5118131260829
2025-01-01 04:00:00+01:00,59.96031730141911,598.2755157048992,481.2223760390914
2025-01-01 05:00:00+01:00,49.28759736606218,610.2640589386795,409.349372696457
2025-01-01 06:00:00+01:00,56.47349307767783,668.7534529576885,385.636525806651
2025-01-01 07:00:00+01:00,44.30455529587779,640.3112095217422,375.3565494725496
2025-01-01 08:00:00+01:00,61.163392490630635,591.2158853685507,329.2791797048012
2025-01-01 09:00:00+01:00,37.92742907811356,602.5066835424313,530.4073656706174
2025-01-01 10:00:00+01:00,49.25166200956066,547.4745377080928,372.4365908875171
2025-01-01 11:00:00+01:00,37.862619392290114,518.4634612976615,416.5343279943127
2025-01-01 12:00:00+01:00,40.43470147076848,508.6359366394478,413.75634417915523
2025-01-01 13:00:00+01:00,32.03295419556536,412.92037574043036,442.9673440640563
2025-01-01 14:00:00+01:00,30.99516565494699,389.62953351707586,468.3838698005661
2025-01-01 15:00:00+01:00,31.9197741698137,399.65562887285193,470.62068359158854
2025-01-01 16:00:00+01:00,32.796806926341446,367.06908642830143,398.4431372451544
2025-01-01 17:00:00+01:00,41.92396989024883,394.8933893156368,419.2409234842807
2025-01-01 18:00:00+01:00,26.949963747314055,354.1363462268304,441.72600669801625
2025-01-01 19:00:00+01:00,35.30256194536943,343.09685829771985,415.1624528644239
2025-01-01 20:00:00+01:00,43.47459238120816,441.4234831059808,507.9642879746009
2025-01-01 21:00:00+01:00,33.42004948682818,409.750965735485,452.14575675551384
2025-01-01 22:00:00+01:00,33.72302559445697,443.40291463310444,464.34089847609215
2025-01-01 23:00:00+01:00,35.841789594265244,427.57633749376043,460.7410726069719
2025-01-02 00:00:00+01:00,46.75931593170022,486.4222471940642,487.6092537526972
2025-01-02 01:00:00+01:00,45.87356175518058,537.1396920334181,437.9866388136163
2025-01-02 02:00:00+01:00,43.94239098955789,528.2239216071506,364.09396348063865
2025-01-02 03:00:00+01:00,50.87911056184023,598.8774832225755,448.91995846606306
2025-01-02 04:00:00+01:00,42.850995454611166,588.6576166863881,396.3677161888395
2025-01-02 05:00:00+01:00,54.58280892646252,609.9140155907095,402.50472679094315
2025-01-02 06:00:00+01:00,50.403645207339444,604.7025305629378,458.25376181618566
2025-01-02 07:00:00+01:00,48.97315101234875,674.2331736197759,490.84971445011274
2025-01-02 08:00:00+01:00,44.14483125921612,606.2718606418143,429.99913971523404
